"id","type","tags","lat","lon","nds","members","changeset","timestamp","uid","user","version"
"297421035","node","{name=Waterworks Road Vet, amenity=veterinary}","-27.4459000","152.9870200","[]","[]","12345467","2012-07-19 19:53:02.000","722137","OSMF Redaction Account","3"
"767618602","node","{name=Highate Hill Veterinary Surgery, addr:housenumber=184, addr:street=Annerley Road, source=survey, amenity=veterinary}","-27.4982052","153.0279455","[]","[]","146573985","2024-01-23 00:47:51.000","349913","Peter W34","2"
"389631260","node","{name=Eagle Farm Equine Veterinary Hospital, amenity=veterinary}","-27.4205974","153.0776189","[]","[]","1061238","2009-05-03 14:33:25.000","14505","David Dean","1"
"317112844","node","{name=The Gap Vet Surgery, amenity=veterinary}","-27.4435894","152.9444847","[]","[]","217719","2008-12-07 03:11:38.000","14505","David Dean","1"
"705724591","node","{name=Red Hill Veterinary Clinic, source=survey, amenity=veterinary}","-27.4544210","153.0032582","[]","[]","33501125","2015-08-22 10:53:32.000","67896","mrpulley","2"
"421417679","node","{name=Pinelands Pet Motel, addr:street=Compton Road, amenity=veterinary}","-27.6171533","153.0973083","[]","[]","145022593","2023-12-12 05:27:10.000","1830192","Warin61","3"
"2029517035","node","{name=Loganholme Veterinary Surgery, amenity=veterinary, check_date=2024-01-02}","-27.6660436","153.1859994","[]","[]","145783968","2024-01-02 04:58:47.000","349913","Peter W34","2"
"293657160","node","{name=The Cat Clinic, opening_hours=Mo-Fr 07:00-19:00; Sa 07:00-16:00; Su 09:00-12:00, website=https://www.thecatclinic.com.au/, amenity=veterinary}","-27.4592870","153.0054272","[]","[]","128918482","2022-11-15 05:23:35.000","9451067","b-jazz-bot","4"
"1053424752","node","{name=Marsden Veterinary Surgery, amenity=veterinary}","-27.6827040","153.1111561","[]","[]","33501125","2015-08-22 10:35:14.000","67896","mrpulley","2"
"2011700966","node","{name=CityVet Chatswood Hills, website=https://www.cityvets.com.au/, amenity=veterinary}","-27.6335846","153.1401530","[]","[]","142175889","2023-10-05 07:36:37.000","9451067","b-jazz-bot","3"
"3480574059","node","{brand:wikidata=Q41179992, name=Greencross Vets, brand=Greencross Vets, amenity=veterinary, brand:wikipedia=en:Greencross}","-27.4899748","153.0373165","[]","[]","120528477","2022-05-04 08:36:24.000","341519","lcmortensen","4"
